Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Индейка в имбирно-апельсиновом соусе,,,,
Шашлык свиной грузинский,,,,
Куриные стрипсы,,,,
Стейк из свинины на косточке,,,,
Котлета светлогорская,,,,
Картофельный драник,,,,
Котлета подмосковная,,,,
Говяжьи щеки в перечном соусе,,,,
Колбаска улитка,,,,
Колбаска гриль с сыром,,,,
Колбаска Мюнхенская,12,28,310,2
Салат Рулетики из ветчины с сыром и орехами,,,,
Сырные палочки 6шт,,,,
Шницель Куриный,27,17,312,15
Кокорито куриный оладушек,20,28,367,10
Запеканка с черникой и смородиной,12,6,180,20
Куриная грудка с жар грибами и ветчиной,14,14,205,6
Сырник за 1шт,21.4,25.7,457,35.7
Котлета Пожарская,18,34,490,28
Котлета куриная Колобок с грибами,14,13,215,10
Куриные крылья,22,13,220,4
Язык говяжий отварной,24,15,231,2.7
Шашлык из курицы,19,21,310,9.5
Мясо по-француски,,,,
Котлета мясная с томатным соусом,,,,
Фрикадельки по домашнему,,,,
Кебаб с яйцом,18.5,17,240,1.2
Жульен грибной,6,13,188,13
====Суп============,,,,
Суп гороховый,,,,
Борщ,4,2.5,85,12
Лапша куриная суп,,,,
Окрошка на квасе,,,,
Щи белые,,,,
Картофель жареный с грибами,,,,
====Салаты============,,,,
Салат оливье,6.5,21,250,8
Гренки с чесноком,,,,
Салат овощной,,,,
Салат Цезарь,,,,
Салат куриный сытный,,,,
Салат мясной Му-Му,,,,
Салат греческий,,,,
Салат с зленым горошком,,,,
Салат с фунчозой и овощами,,,,
Салат капустный с редимос,,,,
Салата Грузинский,,,,
Салат Фета со свежими овощами и оливками,,,,
Салат Печеные овощи с мягким сыром,,,,
Салат с томатами и фетой,,,,
Салат Битые огруцы,,,,
Салат с крабом,,,,
====Пироженные к чаю==========,,,,
Краффин с апельсиновым соусом,,,,
Берлинское печенье,,,,
Печенье овсяное Кукис,,,,
Печенье кукис с шоколадом,,,,
Маффин шоколадный,,,,
Пирожок с мясом,,,,
Пирожок с яблоком и черной смородиной,,,,
Пирожок с капустой,9.2,17.4,444,62.8
Блинчик с мясом,,,,
Блинчик с ягодами,,,,
Блинчик с яблоком и брусникой,,,,
Блинчик фри пина-коладо,,,,
Пирожное вупи ке,,,,
Пирожное манго,,,,
Торт медовичок,,,,
Мусс ягодный,,,,
Торт красный бархат,,,,
Пирожное картошка,,,,
Печенье берлинское,,,,
Краффин с апельсиновым кремом,,,,
Овсяное печенье кукие,,,,
Сочник,,,,
Торт чизкейк,,,,
Торт шоколадный,,,,
Торт наполеон,,,,
Мороженое Вологодский в ассортименте,,,,
Мороженое Шербет с черной смородиной,,,,
Арахис,,,,
Фисташки,,,,
"Сникерс, твикс на кассе",,,,
Чипсы Lays на кассе,,,,
====Нету или не будет============,,,,
Чахобили,,,,
Капуста тушеная с колбасками,,,,
Куриная грудка гриль,,,,
Колбаска Баварская,,,,
Колбаска Пряная,,,,
Свиная рулька барбекю,,,,
Свиные ребра барбекю,,,,
Рыбная котлета с крабом луком и яйцом,,,,
"Пирог пастуший ",,,,
Якитория из бедра цыпленка,16,12,195,4
Котлета с начинкой из Тамб. окорока,,,,
Зраза картофельная с грибами,,,,
